id,label,date,l_scc,r_scc,l_scc_class,r_scc_class,full_path,crop_path
147,0,2024-02-28,118525,62377,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\147.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\147.jpg
148,0,2024-02-28,61349,143091,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\148.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\148.jpg
152,0,2024-02-28,349362,244481,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\152.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\152.jpg
153,1,2024-02-28,1637058,6271824,4,5,data\raw\TIDS Dataset\TIDS_full_images\scm\153.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\153.jpg
155,0,2024-02-28,41566,21125,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\155.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\155.jpg
158,1,2024-02-28,1390669,39282,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\158.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\158.jpg
160,1,2024-02-28,24190,605977,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\160.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\160.jpg
161,0,2024-02-28,19935,29541,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\161.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\161.jpg
168,0,2024-02-28,20233,21046,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\168.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\168.jpg
170,0,2024-02-28,27213,30916,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\170.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\170.jpg
172,0,2024-02-28,29881,13027,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\172.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\172.jpg
175,0,2024-03-13,75350,68958,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\175.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\175.jpg
176,0,2024-03-13,58900,96423,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\176.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\176.jpg
177,1,2024-03-13,1049773,29830,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\177.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\177.jpg
178,0,2024-03-13,63028,83657,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\178.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\178.jpg
180,0,2024-03-13,59201,17853,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\180.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\180.jpg
182,0,2024-03-13,18760,22651,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\182.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\182.jpg
183,0,2024-03-13,34014,105080,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\183.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\183.jpg
184,0,2024-03-13,88213,70472,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\184.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\184.jpg
186,1,2024-03-13,1824593,30780,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\186.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\186.jpg
188,0,2024-03-13,156979,50109,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\188.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\188.jpg
190,0,2024-03-13,30284,151101,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\190.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\190.jpg
194,0,2024-03-13,166540,95344,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\194.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\194.jpg
196,0,2024-03-13,28716,49720,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\196.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\196.jpg
197,0,2024-03-13,48748,43537,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\197.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\197.jpg
198,0,2024-03-13,53425,77152,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\198.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\198.jpg
201,1,2024-03-13,372610,1889905,2,4,data\raw\TIDS Dataset\TIDS_full_images\scm\201.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\201.jpg
209,1,2024-03-19,688290,76223,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\209.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\209.jpg
211,0,2024-03-19,129379,61278,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\211.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\211.jpg
212,1,2024-03-19,689422,17846,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\212.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\212.jpg
214,1,2024-03-19,1012286,6370,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\214.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\214.jpg
225,1,2024-03-19,8302713,114715,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\225.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\225.jpg
227,1,2024-03-19,4360024,1602841,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\227.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\227.jpg
228,1,2024-03-19,540046,21092,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\228.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\228.jpg
233,0,2024-03-19,34661,86904,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\233.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\233.jpg
234,0,2024-03-19,115255,69202,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\234.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\234.jpg
236,1,2024-03-19,204398,1358146,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\236.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\236.jpg
237,0,2024-03-19,73695,61376,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\237.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\237.jpg
240,1,2024-03-19,15653,2560561,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\240.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\240.jpg
245,1,2024-04-16,625408,58540,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\245.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\245.jpg
251,1,2024-04-16,5148638,205916,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\251.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\251.jpg
253,1,2024-04-16,4323580,48910,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\253.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\253.jpg
260,1,2024-04-16,3157886,104617,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\260.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\260.jpg
262,0,2024-04-16,72668,52804,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\262.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\262.jpg
265,0,2024-04-16,12918,32969,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\265.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\265.jpg
275,0,2024-04-16,187157,182903,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\275.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\275.jpg
276,1,2024-04-16,887975,33437,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\276.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\276.jpg
278,1,2024-04-16,58332,1756873,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\278.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\278.jpg
280,0,2024-04-16,145893,140516,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\280.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\280.jpg
288,1,2024-04-29,404653,5793513,2,5,data\raw\TIDS Dataset\TIDS_full_images\scm\288.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\288.jpg
294,0,2024-04-29,40405,64465,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\294.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\294.jpg
295,1,2024-04-29,2409831,2513749,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\295.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\295.jpg
296,1,2024-04-29,6557984,10364234,5,5,data\raw\TIDS Dataset\TIDS_full_images\scm\296.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\296.jpg
297,1,2024-04-29,15014975,13158192,5,5,data\raw\TIDS Dataset\TIDS_full_images\scm\297.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\297.jpg
299,0,2024-04-29,72313,28551,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\299.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\299.jpg
304,1,2024-04-29,105415,601917,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\304.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\304.jpg
305,1,2024-04-29,412128,1947100,2,4,data\raw\TIDS Dataset\TIDS_full_images\scm\305.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\305.jpg
308,1,2024-04-29,337711,7209216,2,5,data\raw\TIDS Dataset\TIDS_full_images\scm\308.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\308.jpg
309,1,2024-04-29,7931559,3234779,5,4,data\raw\TIDS Dataset\TIDS_full_images\scm\309.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\309.jpg
310,0,2024-04-29,122622,63706,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\310.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\310.jpg
311,1,2024-04-29,12083919,1805440,5,4,data\raw\TIDS Dataset\TIDS_full_images\scm\311.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\311.jpg
315,1,2024-04-29,9382519,1580997,5,4,data\raw\TIDS Dataset\TIDS_full_images\scm\315.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\315.jpg
319,1,2024-04-29,14435850,36640,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\319.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\319.jpg
320,1,2024-04-29,4371381,2101116,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\320.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\320.jpg
323,1,2024-04-29,2972527,25511,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\323.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\323.jpg
325,1,2024-04-29,5074061,497748,5,2,data\raw\TIDS Dataset\TIDS_full_images\scm\325.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\325.jpg
326,0,2024-04-29,102788,92349,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\326.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\326.jpg
327,0,2024-04-29,74654,94421,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\327.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\327.jpg
328,1,2024-04-29,1518062,236795,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\328.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\328.jpg
331,1,2024-12-11,157000,968000,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\331.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\331.jpg
332,0,2024-12-11,237000,205000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\332.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\332.jpg
333,0,2024-12-11,52000,75000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\333.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\333.jpg
334,0,2024-12-11,140000,186000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\334.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\334.jpg
335,1,2024-12-11,527000,566000,3,3,data\raw\TIDS Dataset\TIDS_full_images\scm\335.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\335.jpg
336,1,2024-12-11,764000,1253000,3,3,data\raw\TIDS Dataset\TIDS_full_images\scm\336.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\336.jpg
337,1,2024-12-11,229000,3654000,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\337.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\337.jpg
338,1,2024-12-11,166000,575000,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\338.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\338.jpg
339,0,2024-12-11,80000,51000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\339.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\339.jpg
340,0,2024-12-11,378000,60000,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\340.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\340.jpg
341,1,2024-12-11,231000,3335000,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\341.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\341.jpg
342,1,2024-12-11,646000,218000,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\342.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\342.jpg
343,1,2024-12-11,115000,621000,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\343.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\343.jpg
344,0,2024-12-11,34000,41000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\344.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\344.jpg
345,1,2024-12-11,195000,20775000,1,5,data\raw\TIDS Dataset\TIDS_full_images\scm\345.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\345.jpg
346,1,2024-12-11,46000,703000,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\346.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\346.jpg
347,0,2024-12-11,106000,52000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\347.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\347.jpg
348,1,2024-12-11,7646000,561000,5,3,data\raw\TIDS Dataset\TIDS_full_images\scm\348.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\348.jpg
349,0,2024-12-11,407000,244000,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\349.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\349.jpg
350,0,2024-12-11,27000,22000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\350.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\350.jpg
351,0,2024-12-11,62000,53000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\351.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\351.jpg
352,1,2024-12-11,1185000,2431000,3,4,data\raw\TIDS Dataset\TIDS_full_images\scm\352.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\352.jpg
353,1,2024-12-11,1380000,121000,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\353.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\353.jpg
354,1,2024-12-11,4352000,188000,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\354.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\354.jpg
355,0,2024-12-11,84000,201000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\355.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\355.jpg
356,0,2024-12-11,273000,172000,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\356.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\356.jpg
357,0,2024-12-11,86000,107000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\357.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\357.jpg
358,0,2024-12-11,119000,182000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\358.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\358.jpg
359,0,2024-12-11,358000,204000,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\359.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\359.jpg
360,1,2024-12-11,2923000,11230000,4,5,data\raw\TIDS Dataset\TIDS_full_images\scm\360.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\360.jpg
361,1,2024-12-11,1290000,611000,3,3,data\raw\TIDS Dataset\TIDS_full_images\scm\361.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\361.jpg
362,0,2024-12-11,119000,295000,1,2,data\raw\TIDS Dataset\TIDS_full_images\healthy\362.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\362.jpg
